,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Leningradskiy,RU,69.3833,178.4167,-27.15,96,34,3.51,scattered clouds
334,Sept-Iles,CA,50.2001,-66.3821,41.52,100,90,3.44,light intensity drizzle
335,Mega,ET,4.05,38.3,64.51,69,98,10.07,overcast clouds
336,Ariquemes,BR,-9.9133,-63.0408,93.6,47,71,2.8,broken clouds
337,Port Lincoln,AU,-34.7333,135.8667,57.85,76,100,15.77,overcast clouds
338,Winslow,US,35.0242,-110.6974,33.98,40,1,3.44,clear sky
339,Thompson,CA,55.7435,-97.8558,10.56,92,90,4.61,light snow
340,Delmas,HT,18.5447,-72.3028,84.0,60,69,4.74,broken clouds
341,Komsomolskiy,UZ,40.4272,71.7189,41.72,60,75,4.61,broken clouds
342,Yeppoon,AU,-23.1333,150.7333,74.98,91,100,5.01,light rain
343,Coruripe,BR,-10.1256,-36.1756,85.48,58,62,12.19,broken clouds
